Time,Authorofthisform,Titleofthework,Releaseyear,Authors,EmotionalinvolvementAffectivity,FreedomofscenarioAgencyIcanImust,HybridityVirtualizationdegree,PresenceHowmuchdoIfeelbeinghere,Immersionqualityofthehardware,Generalsubjectivejudgement,IflinearDurationinminute,IfnonlinearDurationinminuteindicatedbytheproducersdistributors
Linear,Loup Vuarnesson,VR-i,2016,Gilles Jobin,3,1,2,2,5,,5,
Non linear,Loup Vuarnesson,A blind Legend,2015,"DOWINO, France Culture, Radio France",4,1,,2,3,4,180,
Linear,Loup Vuarnesson,3 Dreams of black,2011,"Chris Milk, Google",3,2,2,1,1,3,3,
Non linear,Léa Mercier,Sept Alchimies en Réalité Virtuelle,2017,Julio et Juan Le Parc,2,1,1,2,3,2,13,
Non linear,Léa Mercier,La Porte,2018,VRAC Collective ( Virtual Reality Art Collective) - Sound design Luc Delva,3,2,4,3,2,3,15,
Linear,Rémi Sagot-Duvauroux,Your Spiritual Temple Sucks,2017,John Hsu,2,0,0,2,2,3,10,
Linear,Rémi Sagot-Duvauroux,Vaysha l’aveugle VR,2017,Theodore Ushev,2,1,0,1,2,3,8,
Non linear,Rémi Sagot-Duvauroux,"Incarna, Episode 1 - L'Epreuve",2018,"Nicolas Roy (Game Designer), Florian Guillaud (Art), Alyssa Landry (Narration)",5,4,0,5,5,5,,45
Non linear,Rémi Sagot-Duvauroux,Drunkn Bar Fight,2016,,4,3,0,3,3,3,,
Non linear,Rémi Sagot-Duvauroux,"Birdly, New York Experience",2014,"Max Rheiner, Fabian Troxler and Thomas Tobler",4,3,2,4,4,3,,
Linear,Rémi Sagot-Duvauroux,Vaysha l’aveugle VR,2017,Theodore Ushev,2,1,0,1,2,3,8,
Linear,Rémi Sagot-Duvauroux,Your Spiritual Temple Sucks,2017,John Hsu,2,0,0,2,2,3,10,
Non linear,Rémi Sagot-Duvauroux,A Fisherman's Tale,2019,"Balthazar Auxietre (Artistic Director), Alexis Moroz (Game Director)",5,3,0,4,4,4,,
Non linear,Sofia Kourkoulakou,VitRails,2018,collectif Continuum,2,3,4,3,2,4,,
Non linear,Sofia Kourkoulakou,Lucid,2015,"McKane, Rubanau, Skrypij",2,2,1,1,1,2,,
Linear,Rémi Ronfard,La maladie de la mort,2018,Christelle Derré,5,0,2,2,1,4,15,
Non linear,Rémi Ronfard,Back to the moon,2018,"Helene Leroux, Fx Goby",4,3,1,3,4,5,,5
Non linear,Rémi Ronfard,Virtual Play by Samuel Beckett,2017,"Néill O’Dwyer, Nicholas Johnson",2,3,4,3,,2,,20
Linear,Sofia Kourkoulakou,Legible City,1988,Jeffrey Shaw,1,3,2,2,3,3,,
Non linear,Sofia Kourkoulakou,InterACTE,2015,"Collectif VRAC, collaboration avec D. Bartas et MH Tramus",2,3,3,3,3,2,,
Non linear,Sofia Kourkoulakou,PokemonGO,2016,Dennis Hwang,2,1,4,4,4,4,,
